gage,area
09118450,864.647
09119000,2741.9
09124500,878.484
09126000,173.621
09128000,10283.8
09132500,1360.21
09134000,106.725
09134100,1926.56
09135950,2389.56
09143000,71.246
09143500,101.121
09144250,14597.5
09146200,385.891
09147000,251.782
09147025,685.726
09147500,1160.99
09149500,2854.34
09152500,20481.4
09163500,46118.0
09166500,1306.21
09168730,3710.38
09169500,5239.67
09171100,5555.12
09172500,800.99
09174600,1923.72
09177000,3885.75
09180000,11841.8
09180500,61926.6
09182200,46.9712
09182400,137.544
09183500,54.0238
09210500,391.712
09216050,3873.43
09217900,326.779
09223000,333.156
09224700,7703.12
09237450,531.57
09238900,64.9413
09239500,1465.44
09242500,1161.14
09243700,61.1298
09243800,22.4589
09243900,45.1515
09246200,443.96
09246400,561.001
09249750,1189.98
09251000,8757.49
09251100,9849.19
09255000,391.913
09261700,203.928
09266500,263.173
09271550,984.397
09276600,231.817
09277500,923.168
09279000,379.254
09279150,1612.39
09288000,363.629
09288180,2200.9
09289500,201.468
09291000,297.029
09292000,270.716
09292500,335.064
09295000,6623.86
09295100,6763.23
09296800,404.166
09299500,298.188
09301500,2728.79
09302000,9582.72
09303000,671.718
09304200,1658.04
09304500,1928.22
09304800,2697.46
09306200,1309.62
09306222,1687.02
09306242,82.5133
09306255,678.631
09306290,6551.79
09310000,43.2699
09310500,157.606
09310700,89.3978
09312600,195.276
09313000,1190.07
09314500,4522.94
09326500,355.401
09328500,4294.09
09330500,271.19
09339900,169.627
09342500,727.341
09346400,3245.62
09349800,1694.14
09353800,881.139
09354500,1344.99
09355000,150.277
09355500,8372.28
09358000,177.408
09358550,17.1591
09359020,378.693
09361500,1758.5
09362550,16.7508
09363500,2794.89
09364500,3485.96
09365000,18526.4
09367500,1503.13
09368000,32676.8
09371010,37077.3
09371492,89.1765
09371520,605.854
09372000,895.69
09379050,234.714
09379500,58695.0
09386900,185.062
09400568,2166.69
09401110,1103.32
10011500,454.925
10020300,2036.57
10023000,131.436
10128500,420.552
10129500,916.804
10130500,1064.32
10131000,639.765
10132000,1844.38
10132500,319.127
10134500,373.727
10137500,356.332
10149000,39.6327
10149500,276.787
10150500,1628.16
10154200,419.696
10155000,568.246
10155300,697.207
10155400,681.946
10155500,724.742
10156000,59.4771
10163000,1747.87
10164500,132.372
10205030,134.392
10215900,52.2266
